text1,text2,similarity
I am cooking dinner,It is sunny today,0.06
It is raining today,It is cloudy today,0.72
I am feeling great,I am scared,0.57
The cat is sleeping,The car is parked outside,0.43
The movie was boring,I am sad today,0.12
I am scared,The movie was boring,0.0
The car is parked outside,The weather is hot,0.49
I am coding a project,It is sunny today,0.0
The computer is running,I am reading a book,0.08
There is a thunderstorm,The food tastes great,0.0
The cat is sleeping,There is a thunderstorm,0.33
I am scared,I feel nervous,0.51
I am calm and relaxed,I am learning a new language,0.21
The phone is ringing,I am learning a new language,0.0
The computer is running,I am happy today,0.0
The room is clean,The food tastes great,0.27
The food tastes great,The bed is comfortable,0.33
I am reading a book,I am watching a movie,0.52
It is a beautiful day,A storm is coming,0.21
I am coding a project,The weather is hot,0.08
I am sad today,There is a thunderstorm,0.0
I am calm and relaxed,The cat is sleeping,0.0
I am a bit upset,I am learning a new language,0.43
It is cloudy today,I am playing football,0.0
The dog is barking,It might snow today,0.0
I am watching a movie,It might snow today,0.11
I feel excited,I am watching a movie,0.35
The car is parked outside,The weather is hot,0.41
I am feeling great,I am very tired,0.54
The game was fun,I am happy today,0.0
It is sunny today,There is a thunderstorm,0.38
The bed is comfortable,It is a beautiful day,0.11
The computer is running,I am sad today,0.0
It is a beautiful day,I am scared,0.0
I am a bit upset,The food tastes great,0.09
It is sunny today,The dog is barking,0.27
I feel excited,It is a beautiful day,0.05
I am doing yoga,It is sunny today,0.01
The room is clean,The dog is barking,0.56
The weather is cold,The bed is comfortable,0.31
I am reading a book,I feel excited,0.32
It is a beautiful day,I am calm and relaxed,0.0
The bed is comfortable,There is a thunderstorm,0.11
I am doing yoga,It is sunny today,0.08
The game was fun,I am doing yoga,0.16
I am watching a movie,The weather is hot,0.19
The game was fun,I am watching a movie,0.01
The weather is cold,I am calm and relaxed,0.0
I am calm and relaxed,I am happy today,0.22
The computer is running,A storm is coming,0.25
I am sad today,I am very tired,0.39
I am reading a book,I am studying for exams,0.22
I feel nervous,The cat is sleeping,0.05
It is cloudy today,I am learning a new language,0.01
The phone is ringing,I am coding a project,0.08
I am feeling great,I am going to the gym,0.56
I am cooking dinner,I am reading a book,0.41
I feel excited,It is cloudy today,0.03
I am sad today,I am scared,0.46
I am happy today,The game was fun,0.15
I am calm and relaxed,I am a bit upset,0.54
I am happy today,It is cloudy today,0.41
I am playing football,I am doing yoga,0.68
The food tastes great,I am watching a movie,0.03
The food tastes great,I am scared,0.0
I am a bit upset,I am watching a movie,0.45
It is sunny today,The food tastes great,0.15
I am sad today,The computer is running,0.0
I feel confident,I am doing yoga,0.4
I am going to the gym,There is a thunderstorm,0.03
The bed is comfortable,The computer is running,0.53
I am scared,I am coding a project,0.69
The food tastes great,I am scared,0.0
The room is clean,I am scared,0.02
